date,action,ticker,name,value,contraticker,contraname
2020-10-02,acquisitionof,CVX,Chevron Corp,4773.7,NBL,Noble Energy Inc
2020-09-30,acquisitionof,JNJ,Johnson & Johnson,6200.3,MNTA,Momenta Pharmaceuticals Inc
2020-08-31,split,TSLA,Tesla Inc,5.0,N/A,
2020-08-31,split,AAPL,Apple Inc,4.0,N/A,
2020-02-07,acquisitionof,UNH,Unitedhealth Group Inc,303.9,DPLO,Diplomat Pharmacy Inc
2020-01-15,acquisitionof,MRK,Merck & Co Inc,2414.7,ARQL,Arqule Inc
2019-07-30,acquisitionof,PFE,Pfizer Inc,10610.8,ARRY1,Array Biopharma Inc
2019-07-08,acquisitionof,IBM,International Business Machines Corp,33429.8,RHT,Red Hat Inc
2019-06-03,split,DD,Dupont De Nemours Inc,0.33333,N/A,
2019-06-03,tickerchangefrom,DD,Dupont De Nemours Inc,,DWDP,
2019-06-03,tickerchangeto,DD,Dupont De Nemours Inc,,DD,
2019-06-03,spinoff,DD,Dupont De Nemours Inc,0.33333,CTVA,Corteva Inc
2019-05-16,acquisitionof,TSLA,Tesla Inc,208.7,MXWL,Maxwell Technologies Inc
2019-04-02,spinoff,DD,Dupont De Nemours Inc,0.33333,DOW,Dow Inc
2019-04-01,acquisitionof,MRK,Merck & Co Inc,282.9,IMDZ,Immune Design Corp
2019-02-26,spinoff,GE,General Electric Co,0.00537,WAB,Westinghouse Air Brake Technologies Corp
2018-10-08,acquisitionof,BA,Boeing Co,3196.5,KLXI,Klx Inc
2018-02-27,acquisitionof,VZ,Verizon Communications Inc,2341.2,STRP,Straight Path Communications Inc
2018-02-02,acquisitionof,CSCO,Cisco Systems Inc,1737.6,BSFT,Broadsoft Inc
2017-11-17,acquisitionof,UNH,Unitedhealth Group Inc,2193.9,ABCO,Advisory Board Co
2017-09-01,tickerchangeto,DD,Dupont De Nemours Inc,,DWDP,
2017-09-01,tickerchangefrom,DD,Dupont De Nemours Inc,,DOW,
2017-08-31,acquisitionof,INTC,Intel Corp,13896.3,MBLY,Mobileye Nv
2017-08-31,acquisitionof,DD,Dupont De Nemours Inc,72835.0,DD1,Dupont E I De Nemours & Co
2017-07-05,spinoff,GE,General Electric Co,0.0,BKR,Baker Hughes Co
2017-07-03,acquisitionof,GE,General Electric Co,24540.7,BHI,Baker Hughes Inc
2017-06-16,acquisitionof,VZ,Verizon Communications Inc,50382.1,YHOO,Yahoo Inc
2017-03-23,acquisitionof,UNH,Unitedhealth Group Inc,2268.6,SCAI,Surgical Care Affiliates Inc
2017-02-22,acquisitionof,XOM,Exxon Mobil Corp,2397.3,IOC,Interoil Corp
2016-12-07,acquisitionof,MSFT,Microsoft Corp,26560.3,LNKD,Linkedin Corp
2016-11-18,acquisitionof,TSLA,Tesla Inc,2049.0,SCTY1,Solarcity Corp
2016-11-04,acquisitionof,VZ,Verizon Communications Inc,2350.0,FLTX,Fleetmatics Group Plc
2016-09-28,acquisitionof,PFE,Pfizer Inc,13513.2,MDVN,Medivation Inc
2016-06-23,acquisitionof,PFE,Pfizer Inc,4500.4,ANAC,Anacor Pharmaceuticals Inc
2015-12-24,split,NKE,Nike Inc,2.0,N/A,
2015-12-24,acquisitionof,INTC,Intel Corp,16342.2,ALTR1,Altera Corp
2015-10-22,acquisitionof,VZ,Verizon Communications Inc,247.9,MM,Millennial Media Inc
2015-10-13,acquisitionof,IBM,International Business Machines Corp,704.2,MRGE1,Merge Healthcare Inc
2015-09-02,acquisitionof,PFE,Pfizer Inc,15555.4,HSP,Hospira Inc
2015-07-23,acquisitionof,UNH,Unitedhealth Group Inc,12786.5,CTRX,Catamaran Corp
2015-06-22,acquisitionof,VZ,Verizon Communications Inc,3916.3,AOL,Aol Inc
2015-01-21,acquisitionof,MRK,Merck & Co Inc,7777.5,CBST,Cubist Pharmaceuticals Inc
2014-08-05,acquisitionof,MRK,Merck & Co Inc,3711.8,IDIX,Idenix Pharmaceuticals Inc
2014-07-31,spinoff,GE,General Electric Co,0.0,SYF,Synchrony Financial
2014-06-09,split,AAPL,Apple Inc,7.0,N/A,
2013-10-07,acquisitionof,CSCO,Cisco Systems Inc,2393.9,FIRE,Sourcefire Inc
2013-07-01,acquisitionof,GE,General Electric Co,2997.0,LUFK,Lufkin Industries Inc
2012-12-26,split,NKE,Nike Inc,2.0,N/A,
2012-12-03,acquisitionof,IBM,International Business Machines Corp,1268.8,KNXA,Kenexa Corp
